Animal,Corte,Grupo,Region,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
CS4,2,CS,CA1,2166,45.898,55.19,45.898,55.19,642.465,60.529,45.563,153.801,0.066,1.328,0.753,0.443
CS4,2,CS,CA1,1379,53.221,34.065,53.221,34.065,408.316,68.644,25.578,28.538,0.104,2.684,0.373,0.526
CS4,2,CS,CA1,1604,62.847,48.709,62.847,48.709,487.026,65.348,31.252,160.797,0.085,2.091,0.478,0.48
CS4,2,CS,CA1,3386,95.511,37.139,95.511,37.139,912.94,100.535,42.882,174.225,0.051,2.344,0.427,0.516
CS4,3,CS,CA1,1836,50.777,68.655,50.777,68.655,412.86,83.101,28.13,83.387,0.135,2.954,0.339,0.546
CS4,3,CS,CA1,652,30.551,44.59,30.551,44.59,259.948,64.06,12.959,67.966,0.121,4.943,0.202,0.477
CS4,3,CS,CA1,1201,31.182,50.592,31.182,50.592,432.943,58.255,26.249,82.911,0.081,2.219,0.451,0.446
CS4,3,CS,CA1,1008,27.137,33.761,27.137,33.761,188.208,45.109,28.452,81.538,0.358,1.585,0.631,0.714
CS4,3,CS,CA1,366,23.41,25.964,23.41,25.964,135.823,28.259,16.491,85.624,0.249,1.714,0.584,0.58
CS4,3,CS,CA1,2249,50.804,88.836,50.804,88.836,714.105,85.192,33.613,62.312,0.055,2.535,0.395,0.377
CS4,3,CS,CA1,1529,51.085,48.134,51.085,48.134,317.605,57.285,33.984,12.918,0.19,1.686,0.593,0.512
CS4,3,CS,CA1,1361,45.072,41.241,45.072,41.241,520.583,45.022,38.489,145.661,0.063,1.17,0.855,0.451
CS4,3,CS,CA1,905,34.176,53.784,34.176,53.784,282.635,78.588,14.662,106.274,0.142,5.36,0.187,0.482
CS4,3,CS,CA1,2131,26.777,81.504,26.777,81.504,544.198,87.72,30.931,87.86,0.09,2.836,0.353,0.526
CS4,3,CS,CA1,1785,44.739,55.764,44.739,55.764,531.21,71.446,31.811,34.772,0.079,2.246,0.445,0.43
CS4,3,CS,CA1,976,40.738,47.453,40.738,47.453,307.404,42.542,29.211,103.959,0.13,1.456,0.687,0.455
CS4,3,CS,CA1,2768,51.716,70.303,51.716,70.303,709.235,90.752,38.835,89.307,0.069,2.337,0.428,0.527
CS4,3,CS,CA1,1478,45.405,66.43,45.405,66.43,344.86,68.404,27.511,71.102,0.156,2.486,0.402,0.492
CS4,3,CS,CA1,1621,63.523,83.24,63.523,83.24,477.328,80.344,25.689,140.345,0.089,3.128,0.32,0.278
CS4,4,CS,CA1,2138,40.252,59.77,40.252,59.77,598.365,63.926,42.583,81.126,0.075,1.501,0.666,0.481
CS4,4,CS,CA1,1593,35.201,55.038,35.201,55.038,400.014,71.115,28.521,111.521,0.125,2.493,0.401,0.517
CS4,4,CS,CA1,1070,63.936,46.693,63.936,46.693,362.617,64.525,21.114,168.048,0.102,3.056,0.327,0.39
CS4,4,CS,CA1,2265,54.864,40.36,54.864,40.36,444.215,81.048,35.582,155.882,0.144,2.278,0.439,0.608
CS4,4,CS,CA1,731,31.904,41.995,31.904,41.995,257.262,57.571,16.167,104.804,0.139,3.561,0.281,0.461
CS4,4,CS,CA1,1626,44.577,34.652,44.577,34.652,389.973,50.932,40.648,7.33,0.134,1.253,0.798,0.513
CS4,4,CS,CA1,415,21.784,26.84,21.784,26.84,136.167,24.685,21.406,77.011,0.281,1.153,0.867,0.637
CS4,4,CS,CA1,879,49.971,34.266,49.971,34.266,282.676,49.285,22.708,25.365,0.138,2.17,0.461,0.404
CS4,4,CS,CA1,1243,28.73,46.699,28.73,46.699,315.362,63.533,24.91,90.241,0.157,2.55,0.392,0.594
